isbn,title,author,category,sub_category,description,publisher,year_of_publication,language,num_pages,img_link
0060915544,The Bean Trees,Barbara Kingsolver,Genre Fiction,Literature & Fiction,"Barbara Kingsolver's 1988 debut novel is a classic workof American fiction. Now a standard in college literature classes across thenation, and a book that appears in translation across the globe,The BeanTreesis not only a literary masterpiece but a popular triumphanarrative that readers worldwide have taken into their hearts. TheLos Angeles TimescallsThe Bean Treesthe work of a visionary. . . . It leaves you open-mouthed and smiling.Read more",Harper Perennial Reprint edition ,1989,English,240,"https://images-na.ssl-images-amazon.com/images/I/51z-glbKbFL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
074932032X,Slow Waltz in Cedar Bend,Robert James Waller,Contemporary,Literature & Fiction,"A romance by the author of THE BRIDGES OF MADISON COUNTRY, telling of the sexual attraction at first sight between a middle-aged university professor and another professor's wife. When the woman disappears, the hero realises he is ready to travel the world in search of her.Read more",Mandarin ,1995,English,35,"https://images-na.ssl-images-amazon.com/images/I/416AKC34XBL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0452260116,Song of Solomon,Toni Morrison,United States,Literature & Fiction,"Macon Dead, Jr., called Milkman, son of the richest Negro in town, moves from childhood into early manhood, searching, among the disparate, mysterious members of his family, for his life and realityRead more",Plume Books ,1987,English,337,"https://images-na.ssl-images-amazon.com/images/I/71KQBKDD86L._SY291_BO1,204,203,200_QL40_FMwebp_.gif"
1569471428,"Breath, Eyes, Memory",Edwidge Danticat,United States,Literature & Fiction,"At the age of twelve, Sophie Caco is sent from her impoverished village of Croix-des-Rosets to New York, to be reunited with a mother she barely remembers. There she discovers secrets that no child should ever know, and a legacy of shame that can be healed only when she returns to Haiti--to the women who first reared her. What ensues is a passionate journey through a landscape charged with the supernatural and scarred by political violence, in a novel that bears witness to the traditions, suffering, and wisdom of an entire people.Read more",Soho Press 2nd edition ,2003,English,234,"https://images-na.ssl-images-amazon.com/images/I/51a32UZzJ3L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0316096199,Lucky,Alice Sebold,Community & Culture,Biographies & Memoirs,"In a memoir hailed for its searing candor and wit, Alice Sebold reveals how her life was utterly transformed when, as an eighteen-year-old college freshman, she was brutally raped and beaten in a park near campus. What propels this chronicle of her recovery is Sebold's indomitable spirit-as she struggles for understanding (""After telling the hard facts to anyone, from lover to friend, I have changed in their eyes""); as her dazed family and friends sometimes bungle their efforts to provide comfort and support; and as, ultimately, she triumphs, managing through grit and coincidence to help secure her attacker's arrest and conviction. In a narrative by turns disturbing, thrilling, and inspiring, Alice Sebold illuminates the experience of trauma victims even as she imparts wisdom profoundly hard-won: ""You save yourself or you remain unsaved.""Read more",Back Bay Books 1st edition ,2002,English,272,"https://images-na.ssl-images-amazon.com/images/I/41gWa8eF6eL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
006000438X,The Death of Vishnu: A Novel,Manil Suri,United States,Literature & Fiction,"In a stirring new novel that incorporates elements of Hindu mythology, a Bombay apartment building becomes a metaphor for the divisions and cultural clashes of modern India, as Vishnu, the resident handyman, lies dying on the staircase while his neighbors argue over who will pay for an ambulance. A first novel. Reprint.Read more",Harper Perennial 1st edition ,2002,English,301,"https://images-na.ssl-images-amazon.com/images/I/51dzKL6qNnL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0060929871,Brave New World,Aldous Huxley,United States,Literature & Fiction,"A fantasy of the future that sheds a blazing critical light on the present--considered to be Aldous Huxley's most enduring masterpiece.""Mr. Huxley is eloquent in his declaration of an artist's faith in man, and it is his eloquence, bitter in attack, noble in defense, that, when one has closed the book, one remembers.""--Saturday Review of Literature""A Fantastic racy narrative, full of much excellent satire and literary horseplay.""--Forum""It is as sparkling, provocative, as brilliant, in the appropriate sense, as impressive ads the day it was published. This is in part because its prophetic voice has remained surprisingly contemporary, both in its particular forecasts and in its general tone of semiserious alarm. But it is much more because the book succeeds as a work of art...This is surely Huxley's best book.""--Martin GreenRead more",Harper Perennial Modern Classics ,1998,English,268,"https://images-na.ssl-images-amazon.com/images/I/41JP2Y4awLL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0316899992,"River, Cross My Heart",Breena Clarke,United States,Literature & Fiction,"After the drowning death of their daughter in the Potomac River, a family leaves their rural North Carolina world in search of a better life among friends and relatives in Georgetown, as they grapple with their loss and struggle to move forwardRead more",Little Brown & Co 1st edition ,1999,English,245,"https://images-na.ssl-images-amazon.com/images/I/4174PBG9JTL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0345420748,While I Was Gone,Sue Miller,Genre Fiction,Literature & Fiction,"“MILLER WEAVES HER THEMES OF SECRECY, BETRAYAL AND FORGIVENESS INTO A NARRATIVE THAT SHINES.”–Time“FASCINATING . . . Despite having a loving husband, three vivacious daughters, a beautiful home in rural Massachusetts, and satisfaction in her work, Jo Becker’s mind is invaded by a persistent restlessness. Then, an old roommate reappears to bring back Jo’s memories of her early 20s. . . . Her obsession with that period of her life and with the crime that concluded it eventually estrange Jo from everything she holds dear, causing her to tell lie after lie as she is pulled closer to this man from her past–and to a horrible secret.”–Milwaukee Journal-SentinelRead more",Ballantine Books Reprint edition ,2002,English,352,"https://images-na.ssl-images-amazon.com/images/I/51+dcg3RKWL._SY344_BO1,204,203,200_.jpg"
0452282195,The Bluest Eye (Oprah's Book Club),Toni Morrison,Literary,Literature & Fiction,The story of Pecola Breedlove profiles an eleven-year-old Black girl growing up in an America that values blue-eyed blondes and the tragedy that results from her longing to be accepted.Read more,Plume ,2000,English,224,"https://images-na.ssl-images-amazon.com/images/I/41KZ2EEM0YL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0671510053,The Shipping News,E. Annie Proulx,Genre Fiction,Literature & Fiction,"Winner of the Pulitzer Prize, Annie Proulx’sThe Shipping Newsis a vigorous, darkly comic, and at times magical portrait of the contemporary North American family.Quoyle, a third-rate newspaper hack, with a “head shaped like a crenshaw, no neck, reddish hair...features as bunched as kissed fingertips,” is wrenched violently out of his workaday life when his two-timing wife meets her just desserts. An aunt convinces Quoyle and his two emotionally disturbed daughters to return with her to the starkly beautiful coastal landscape of their ancestral home in Newfoundland. Here, on desolate Quoyle’s Point, in a house empty except for a few mementos of the family’s unsavory past, the battered members of three generations try to cobble up new lives.Newfoundland is a country of coast and cove where the mercury rarely rises above seventy degrees, the local culinary delicacy is cod cheeks, and it’s easier to travel by boat and snowmobile than on anything with wheels. In this harsh place of cruel storms, a collapsing fishery, and chronic unemployment, the aunt sets up as a yacht upholsterer in nearby Killick-Claw, and Quoyle finds a job reporting the shipping news for the local weekly, theGammy Bird(a paper that specializes in sexual-abuse stories and grisly photos of car accidents).As the long winter closes its jaws of ice, each of the Quoyles confronts private demons, reels from catastrophe to minor triumph—in the company of the obsequious Mavis Bangs; Diddy Shovel the strongman; drowned Herald Prowse; cane-twirling Beety; Nutbeem, who steals foreign news from the radio; a demented cousin the aunt refuses to recognize; the much-zippered Alvin Yark; silent Wavey; and old Billy Pretty, with his bag of secrets. By the time of the spring storms Quoyle has learned how to gut cod, to escape from a pickle jar, and to tie a true lover’s knot.Read more",Scribner 1st edition ,1994,English,352,"https://images-na.ssl-images-amazon.com/images/I/41zfMTbOIML._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
014028009X,Bridget Jones's Diary: A Novel,Helen Fielding,Dramas & Plays,Literature & Fiction,"USA Today's top 100 books to read while stuck at home social distancingThe iconic #1 bestseller by Helen Fielding; Bridget Jones is now the inspiration for the September 2016 Working Title film release ofBridget Jones's Baby, starring Renee Zellweger, Colin Firth, Patrick Dempsey and Emma Thompson.Bridget Jones's Diaryis the devastatingly self-aware, laugh-out-loud account of a year in the life of a thirty-something Singleton on a permanent doomed quest for self-improvement. Caught between the joys of Singleton fun, and the fear of dying alone and being found three weeks later half eaten by an Alsatian; tortured by Smug Married friends asking, ""How's your love life?"" with lascivious, yet patronizing leers, Bridget resolves to: reduce the circumference of each thigh by 1.5 inches, visit the gym three times a week not just to buy a sandwich, form a functional relationship with a responsible adult and learn to program the VCR. With a blend of flighty charm, existential gloom, and endearing self-deprecation,Bridget Jones's Diaryhas touched a raw nerve with millions of readers the world round. Read it and laugh—before you cry, ""Bridget Jones is me!""Read more",Penguin Books ,1999,English,288,"https://images-na.ssl-images-amazon.com/images/I/51M-OGgIffL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0446677450,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money-That the Poor and the Middle Class Do Not!,Robert T. Kiyosaki,Investing,Business & Money,"“Rich Dad, Poor Dad” chronicles the story of two dads, the author’s own father, who was the superintendent of education in Hawaii and who ended up dying penniless, and the author's best friend’s father (and Kiyosaki’s mentor growing up), who dropped out of school at age 13 and went on to become one of the wealthiest men in Hawaii. Kiyosaki uses the story of these two men and their varying financial strategies to illustrate the need for a new financial paradigm in order to achieve financial success in the new millennium.Read more",Business Plus 1st edition ,2000,English,272,"https://images-na.ssl-images-amazon.com/images/I/51fAOarGB-L._SY344_BO1,204,203,200_.jpg"
0380730138,Vinegar Hill (Oprah's Book Club),A. Manette Ansay,Genre Fiction,Literature & Fiction,"In a stark, troubling, yet ultimately triumphant celebration of self-determination, award-winning author A. Manette Ansay re-creates a stifling world of guilty and pain, and the tormented souls who inhabit it. It is 1972 when circumstance carries Ellen Grier and her family back to Holly's Field, Wisconsin. Dutifully accompanying her newly unemployed husband, Ellen has brought her two children into the home of her in-laws on Vinegar Hill--a loveless house suffused with the settling dust of bitterness and routine--where calculated cruelty is a way of life preserved and perpetuated in the service of a rigid, exacting and angry God. Behind a facade of false piety, there are sins and secrets in this place that could crush a vibrant young woman's passionate spirit. And here Ellen must find the straight to endure, change, and grow in the all-pervading darkness that threatens to destroy everything she is and everyone she loves.Read more",Harper Perennial Reissue edition ,1998,English,256,"https://images-na.ssl-images-amazon.com/images/I/51HcPUP6krL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
068484267X,Angela's Ashes: A Memoir,Frank McCourt,Historical,Biographies & Memoirs,"A Pulitzer Prize–winning, #1 New York Times bestseller,Angela’s Ashesis Frank McCourt’s masterful memoir of his childhood in Ireland.“When I look back on my childhood I wonder how I managed to survive at all. It was, of course, a miserable childhood: the happy childhood is hardly worth your while. Worse than the ordinary miserable childhood is the miserable Irish childhood, and worse yet is the miserable Irish Catholic childhood.”So begins the luminous memoir of Frank McCourt, born in Depression-era Brooklyn to recent Irish immigrants and raised in the slums of Limerick, Ireland. Frank’s mother, Angela, has no money to feed the children since Frank’s father, Malachy, rarely works, and when he does he drinks his wages. Yet Malachy—exasperating, irresponsible, and beguiling—does nurture in Frank an appetite for the one thing he can provide: a story. Frank lives for his father’s tales of Cuchulain, who saved Ireland, and of the Angel on the Seventh Step, who brings his mother babies.Perhaps it is story that accounts for Frank’s survival. Wearing rags for diapers, begging a pig’s head for Christmas dinner and gathering coal from the roadside to light a fire, Frank endures poverty, near-starvation and the casual cruelty of relatives and neighbors—yet lives to tell his tale with eloquence, exuberance, and remarkable forgiveness.Angela’s Ashes, imbued on every page with Frank McCourt’s astounding humor and compassion, is a glorious book that bears all the marks of a classic.Read more",Scribner Uncorrected Proof edition ,1999,English,368,"https://images-na.ssl-images-amazon.com/images/I/51JhmNksrBL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
038533334X,Charming Billy,Alice McDermott,Genre Fiction,Literature & Fiction,"Billy Lynch's family and friends have gathered at a small Bronx bar. They have come to comfort his widow and to eulogize one of the last great romantics, trading tales of his famous humor, immense charm, and unfathomable sorrow. As they linger on into this extraordinary night, their voices form Billy's tragic story and their mourning becomes a gentle homage to all the lives in their small community fractured by grief, shattered by secrets, and sustained by the simple dream of love.Read more","Dell Publishing January 1999, 1st Printing edition ",1999,English,243,"https://images-na.ssl-images-amazon.com/images/I/51nWjImg46L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0140042598,On the Road (Penguin Orange Collection),Jack Kerouac,Genre Fiction,Literature & Fiction,"The classic novel of freedom and the search for authenticity that defined a generationSeptember 5th, 2017 marks the 60th anniversary of the publication ofOn the RoadInspired by Jack Kerouac's adventures with Neal Cassady,On the Roadtells the story of two friends whose cross-country road trips are a quest for meaning and true experience. Written with a mixture of sad-eyed naiveté and wild ambition and imbued with Kerouac's love of America, his compassion for humanity, and his sense of language as jazz,On the Roadis the quintessential American vision of freedom and hope, a book that changed American literature and changed anyone who has ever picked it up.Read more",Penguin Books ,1976,English,307,"https://images-na.ssl-images-amazon.com/images/I/41T9ec+thhL._SY344_BO1,204,203,200_.jpg"
0140244824,Songs in Ordinary Time (Oprah's Book Club),Mary McGarry Morris,Genre Fiction,Literature & Fiction,"It's the summer of 1960 in Atkinson, Vermont. Maria Fermoyle is a strong but vulnerable divorced woman whose loneliness and ambition for her children make her easy prey for dangerous con man Omar Duvall. Marie's children are Alice, seventeen—involved with a young priest; Norm, sixteen—hotheaded and idealistic; and Benny, twelve—isolated and misunderstood, and so desperate for his mother's happiness that he hides the deadly truth he knows about Duvall. We also meet Sam Fermoyle, the children's alcoholic father; Sam's brother-in-law, who makes anonymous ""love"" calls from the bathroom of his failing appliance store; and the Klubock family, who—in contrast to the Fermoyles—live an orderly life in the house next door.Songs in Ordinary Timeis a masterful epic of the everyday, illuminating the kaleidoscope of lives that tell the compelling story of this unforgettably family.Read more",Penguin Books Reprint edition ,1996,English,768,"https://images-na.ssl-images-amazon.com/images/I/51UY9W9TylL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0375705856,Plainsong,Kent Haruf,Genre Fiction,Literature & Fiction,"National Book Award FinalistA heartstrong story of family and romance, tribulation and tenacity, set on the High Plains east of Denver.In the small town of Holt, Colorado, a high school teacher is confronted with raising his two boys alone after their mother retreats first to the bedroom, then altogether. A teenage girl—her father long since disappeared, her mother unwilling to have her in the house—is pregnant, alone herself, with nowhere to go. And out in the country, two brothers, elderly bachelors, work the family homestead, the only world they've ever known. From these unsettled lives emerges a vision of life, and of the town and landscape that bind them together—their fates somehow overcoming the powerful circumstances of place and station, their confusion, curiosity, dignity and humor intact and resonant. As the milieu widens to embrace fully four generations, Kent Haruf displays an emotional and aesthetic authority to rival the past masters of a classic American tradition.Read more",Vintage First Printing edition ,2000,English,301,"https://images-na.ssl-images-amazon.com/images/I/51Aoz4K8t7L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0375707972,The Reader,Bernhard Schlink,World Literature,Literature & Fiction,"Hailed for its coiled eroticism and the moral claims it makes upon the reader, this mesmerizing novel is a story of love and secrets, horror and compassion, unfolding against the haunted landscape of postwar Germany.When he falls ill on his way home from school, fifteen-year-old Michael Berg is rescued by Hanna, a woman twice his age. In time she becomes his lover—then she inexplicably disappears. When Michael next sees her, he is a young law student, and she is on trial for a hideous crime. As he watches her refuse to defend her innocence, Michael gradually realizes that Hanna may be guarding a secret she considers more shameful than murder.Read more",Vintage ,1997,English,218,"https://images-na.ssl-images-amazon.com/images/I/41JyUEG2y2L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0385265700,The Book of Ruth,Jane Hamilton,Worship & Devotion,Christian Books & Bibles,"Winner of the 1989 PEN/Hemingway Foundation Award  for best first novel, this exquisite book  confronts real-life issues of alienation and violence  from which the author creates a stunning testament  to the human capacity for mercy, compassion and  love.Read more",Anchor 1st edition ,1990,English,298,"https://images-na.ssl-images-amazon.com/images/I/51bD+RXQtdL._SY344_BO1,204,203,200_.jpg"
0452280621,Beloved,Toni Morrison,Genre Fiction,Literature & Fiction,"Sethe, an escaped slave living in post-Civil War Ohio with her daughter and mother-in-law, is persistantly haunted by the ghost of her dead baby girlRead more",Plume Reprint edition ,1998,English,512,"https://images-na.ssl-images-amazon.com/images/I/41AflTLUTGL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0452282829,We Were the Mulvaneys (Oprah's Book Club),Joyce Carol Oates,Genre Fiction,Literature & Fiction,"An Oprah Book Club® selectionANew York TimesNotable BookThe Mulvaneys are blessed by all that makes life sweet. But something happens on Valentine’s Day, 1976—an incident that is hushed up in the town and never spoken of in the Mulvaney home—that rends the fabric of their family life...with tragic consequences. Years later, the youngest son attempts to piece together the fragments of the Mulvaneys’ former glory, seeking to uncover and understand the secret violation that brought about the family’s tragic downfall.Profoundly cathartic, this extraordinary novel unfolds as if Oates, in plumbing the darkness of the human spirit, has come upon a source of light at its core. Moving away from the dark tone of her more recent masterpieces, Joyce Carol Oates turns the tale of a family struggling to cope with its fall from grace into a deeply moving and unforgettable account of the vigor of hope and the power of love to prevail over suffering.“It’s the novel closest to my heart....I’m deeply moved that Oprah Winfrey has selected this novel for Oprah’s Book Club, a family novel presented to Oprah’s vast American family.”—Joyce Carol OatesRead more",Plume ,1997,English,454,"https://images-na.ssl-images-amazon.com/images/I/518GQxtO6fL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
